ID,CITY,STATE,INSTALL DATE
AOH,LIMA,OH,9/19/2006
BJJ,WOOSTER,OH,10/4/2006
BKL,CLEVELAND,OH,8/18/2008
CAK,AKRON,OH,7/7/2009
CLE,CLEVELAND,OH,5/22/2007
CMH,COLUMBUS,OH,5/30/2007
DAY,DAYTON,OH,5/9/2007
DFI,DEFIANCE,OH,4/24/2007
FDY,FINDLAY,OH,10/5/2006
HAO,HAMILTON,OH,5/8/2007
HZY,ASHTABULA,OH,10/6/2006
ILN,WILMINGTON,OH,10/20/2005
LHQ,LANCASTER,OH,6/12/2007
LPR,LORAIN/ELYRIA,OH,12/6/2006
LUK,CINCINNATI,OH,4/20/2007
MFD,MANSFIELD,OH,5/23/2007
MGY,DAYTON,OH,4/30/2007
MNN,MARION,OH,12/6/2006
OSU,COLUMBUS,OH,6/11/2007
PHD,NEW PHILADELPHIA,OH,9/7/2006
TDZ,TOLEDO,OH,8/20/2008
TOL,TOLEDO,OH,1/20/2007
VTA,NEWARK,OH,12/6/2006
YNG,YOUNGSTOWN,OH,9/8/2008
ZZV,ZANESVILLE,OH,3/9/2007
BVO,BARTLESVILLE,OK,2/13/2009
CSM,CLINTON,OK,1/22/2009
FDR,FREDERICK,OK,2/18/2009
GAG,GAGE,OK,1/21/2009
GOK,GUTHRIE,OK,7/26/2007
GUY,GUYMON,OK,9/6/2006
HBR,HOBART,OK,8/1/2007
LAW,LAWTON,OK,2/25/2009
MKO,MUSKOGEE,OK,2/9/2007
MLC,MCALESTER,OK,4/30/2009
